Prefix,Source_Name,Base_URI,License,Home_URL,Version,CURIE_Type
LOINC,Logical Observation Identifiers Names and Codes,https://loinc.org/,LOINC License (registration required),https://loinc.org/,2.78,LOD
ELSST,European Language Social Science Thesaurus,https://elsst.cessda.eu/id/6/,CC BY 4.0,https://elsst.cessda.eu/,4.0,LOD
HL7v3,HL7 v3 Religious Affiliation,http://terminology.hl7.org/CodeSystem/v3-ReligiousAffiliation,HL7 Terminology License,https://terminology.hl7.org/,2025,LOD
HL7v2,HL7 v2 Religion,http://terminology.hl7.org/CodeSystem/v2-0006,HL7 Terminology License,https://terminology.hl7.org/,2.9,LOD
LCDGT,LC Demographic Group Terms,http://id.loc.gov/authorities/demographicTerms/,Public Domain,https://id.loc.gov/authorities/demographicTerms.html,2025-11,LOD
SNOMED,SNOMED CT,http://snomed.info/id/,SNOMED Affiliate License (Registration Required),https://www.snomed.org/,2026-01-INT,LOD
LCSH,Library of Congress Subject Headings,http://id.loc.gov/authorities/subjects/,Public Domain,https://id.loc.gov/authorities/subjects.html,46.0,LOD
AAT,Getty Art & Architecture Thesaurus,http://vocab.getty.edu/aat/,ODC-BY 1.0,https://www.getty.edu/research/tools/vocabularies/aat/,2025-12,LOD
TGM,Thesaurus for Graphic Materials,http://id.loc.gov/vocabulary/graphicMaterials/,Public Domain,https://www.loc.gov/pictures/collection/tgm/,2024-06,LOD
AFSET,LC Ethnographic Terms,http://id.loc.gov/vocabulary/ethnographicTerms/,Public Domain,https://id.loc.gov/vocabulary/ethnographicTerms.html,2025-08,LOD
MeSH,Medical Subject Headings,http://id.nlm.nih.gov/mesh/,Public Domain,https://www.nlm.nih.gov/mesh/meshhome.html,2026,LOD
ASCRG,Australian Standard Classification of Religious Groups,,CC BY 4.0,https://www.abs.gov.au/statistics/classifications/australian-standard-classification-religious-groups,2024,synthetic
ONS,Office for National Statistics,,OGL v3.0,https://www.ons.gov.uk/census/census2021dictionary/variablesbytopic/ethnicgroupnationalidentitylanguageandreligionvariablescensus2021/religiondetailed/classifications,2021,synthetic
ARDA,Association of Religion Data Archives,,ARDA Terms of Use,https://www.thearda.com/,,synthetic
DRH,Database of Religious History,,CC BY-NC-SA 4.0,https://religiondatabase.org/,,synthetic
ICPSR,ICPSR Subject Thesaurus,,CC BY-NC 3.0,https://www.icpsr.umich.edu/web/ICPSR/thesaurus/10001,,synthetic
RHIBS,Religious Health Interventions in Behavioral Sciences Taxonomy,,CC BY-NC 4.0,https://doi.org/10.1093/tbm/ibac054,2022,synthetic
RSATLAS,R|S Atlas,,CC BY-NC 4.0,https://doi.org/10.1136/bmjopen-2020-043830,2021,synthetic
OCM,Outline of Cultural Materials,,PENDING REVIEW,https://ehrafworldcultures.yale.edu/subjects/,2025 7th edition draft,synthetic
APA,APA Thesaurus of Psychological Index Terms,,PENDING REVIEW,https://psycnet.apa.org/thesaurus/,,synthetic
UDC,Universal Decimal Classification Summary,http://udcdata.info/,CC BY-SA 3.0,https://udcsummary.info/,,LOD
DDC,Dewey Decimal Classification,https://id.oclc.org/worldcat/ddc/,CC BY-NC-ND 3.0,https://entities.oclc.org/worldcat/ddc,23,LOD
