"Group","Tradition","Family"
"Abhayagiri Buddhist Monastery","Buddhism","Buddhism"
"Adidam","Other","Other Groups"
"Advaita Fellowship","Hinduism","Hinduism"
"Advent Christian Association","Evangelical Protestant","Adventist"
"Advent Christian Church","Evangelical Protestant","Adventist"
"African Methodist Episcopal Church","Black Protestant","Methodist"
"African Methodist Episcopal Zion Church","Black Protestant","Methodist"
"African Orthodox Church","Mainline Protestant","Anglican/Episcopal"
"African Union First Colored Methodist Protestant Church","","Methodist"
"Agape Christian Fellowship","Evangelical Protestant","Mennonite/Amish"
"Agon-shu","Buddhism","Buddhism"
"Agudas Chassidism Chabad","Judaism","Judaism"
"Ahmadiyya Anjuman Ishaat Islam, Lahore, Inc.","","Islam"
"Ahmadiyyas","Islam","Islam"
"Ajapa Yoga Foundation","Other","Other Groups"
"Alaska Moravian Church","","Methodist"
"Albanian Orthodox Archdiocese of the Orthodox Church in America","Orthodox","Eastern Liturgical (Orthodox)"
"Albanian Orthodox Diocese of America","Orthodox","Eastern Liturgical (Orthodox)"
"Allegheny Wesleyan Methodist Connection (Original Allegheny Conference)","Evangelical Protestant","Methodist"
"Alliance of Baptists","Mainline Protestant","Baptist"
"All World Gayatri Pariwar","Other","Other Groups"
"Alpha and Omega Pentecostal Church of God of America, Inc.","Black Protestant","Pentecostal"
"Amana Church Society","Evangelical Protestant","Communal"
"Ambassadors Amish Mennonite","Evangelical Protestant","Mennonite/Amish"
"American Anglican Church","Mainline Protestant",""
"American Association of Lutheran Churches","Evangelical Protestant","Lutheran"
"American Baptist Association","Evangelical Protestant","Baptist"
"American Baptist Churches in the U.S.A.","Mainline Protestant","Baptist"
"American Baptist Convention","","Baptist"
"American Baptist Mississippi Convention","","Baptist"
"American Buddhist Shim Gum Do Association","Buddhism","Buddhism"
"American Burma Buddhist Association","Buddhism","Buddhism"
"American Carpatho-Russian Orthodox Diocese of the USA","Orthodox","Eastern Liturgical (Orthodox)"
"American Catholic Church (Syro-Antiochean)","Catholic","Catholic Liturgical"
"American Episcopal Church","","Anglican/Episcopal"
"American Ethical Union","Other","Liberal"
"American Evangelical Christian Churches","","Independent Fundamentalist"
"American Evangelical Lutheran Church","","Lutheran"
"American Holy Orthodox Catholic Apostolic Eastern Church","Catholic","Catholic Liturgical"
"American Lutheran Church (1930-1960)","","Lutheran"
"American Lutheran Church (1960-1987)","","Lutheran"
"American Lutheran Conference","","Lutheran"
"American Meditation Society","Other","Other Groups"
"American Mohammedian Society","Islam","Islam"
"American Moslem Brotherhood Association","Islam","Islam"
"American Muslim Mission","Islam","Islam"
"American Presbyterian Church","Evangelical Protestant","Presbyterian/Reformed"
"American Rescue Workers","","Holiness"
"American Sevashram Sangha of NA","Other","Other Groups"
"American Sikh Council","Other","Other Groups"
"American Unitarian Association","","Liberal"
"American Yoga Association","Other","Other Groups"
"American Zen College","Buddhism","Buddhism"
"Amish Groups, undifferentiated","Evangelical Protestant","Mennonite/Amish"
"Amish; Other Groups","Evangelical Protestant","Mennonite/Amish"
"Amitabha Buddhist Societies of USA","Buddhism","Buddhism"
"Amrita Foundation","Hinduism","Hinduism"
"Amritanandamayi, Devotees of Mata","Other","Other Groups"
"Amrit Yoga Institute","Other","Other Groups"
"Anabaptist Disciples of Christ","Evangelical Protestant","Mennonite/Amish"
"Ananda/Ananda Church of Self Realization","Hinduism","Hinduism"
"Ananda Ashram","Other","Other Groups"
"Ananda Ashrama","Other","Other Groups"
"Ananda Marga Yoga Society","Other","Other Groups"
"Anglican Catholic Church","Other Christians","Anglican/Episcopal"
"Anglican Church in America","Mainline Protestant","Anglican/Episcopal"
"Anglican Church in North America","Evangelical Protestant","Anglican/Episcopal"
"Anglican Mission in the Americas","","Anglican/Episcopal"
"Anglican Orthodox Church of North America","","Anglican/Episcopal"
"Anglican Province of America","Mainline Protestant",""
"Anglican Province of Christ the King","Mainline Protestant","Anglican/Episcopal"
"Anoopam Mission","Hinduism","Hinduism"
"Antiochian Orthodox Archdiocese of Toledo, and Dependencies in North America","Orthodox","Eastern Liturgical (Orthodox)"
"Antiochian Orthodox Christian Archdiocese of North America","Orthodox","Eastern Liturgical (Orthodox)"
"Apostolic Catholic Orthodox Church","Catholic","Catholic Liturgical"
"Apostolic Christian Church (Nazarene)","Evangelical Protestant","Other Groups"
"Apostolic Christian Church (Nazarene) - East Conference","Evangelical Protestant","Froehlich Churches"
"Apostolic Christian Church (Nazarene) - West Conference","Evangelical Protestant","Froehlich Churches"
"Apostolic Christian Church of America","Evangelical Protestant","Froehlich Churches"
"Apostolic Christian Faith","Evangelical Protestant","Froehlich Churches"
"Apostolic Churches of Jesus Christ","","Pentecostal"
"Apostolic Church of Christ in God","Black Protestant","Pentecostal"
"Apostolic Church of Jesus Christ","","Pentecostal"
"Apostolic Episcopal Church","","Anglican/Episcopal"
"Apostolic Faith (Kansas)","Evangelical Protestant","Pentecostal"
"Apostolic Faith Mission Church of God","","Pentecostal"
"Apostolic Faith Mission of Portland, Oregon","Evangelical Protestant","Pentecostal"
"Apostolic Lutheran Church of America","Evangelical Protestant","Lutheran"
"Apostolic Orthodox Catholic Church of North America","Catholic","Catholic Liturgical"
"Apostolic Overcoming Holy Church of God","","Pentecostal"
"Apostolic United Brethren","Other","Latter-day Saints (Mormonism)"
